,deputado_id,nome,idLegislaturaFinal,nomeCivil,siglaSexo,ufNascimento,municipioNascimento
2824,62881,Danilo Forte,56,FRANCISCO DANILO BASTOS FORTE,M,CE,Fortaleza
2842,66179,Norma Ayub,56,NORMA AYUB ALVES,F,ES,Vitoria
2845,66828,Fausto Pinato,56,FAUSTO RUY PINATO,M,SP,Fernandopolis
2847,67138,Iracema Portella,56,IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,F,PI,Teresina
2852,68720,Fabio Henrique,56,FABIO HENRIQUE SANTANA DE CARVALHO,M,SE,Simao Dias
2854,69871,Bacelar,56,JOAO CARLOS BACELAR BATISTA,M,BA,Esplanada
2856,72442,Felipe Carreras,56,FELIPE AUGUSTO LYRA CARRERAS,M,PE,Recife
2876,73433,Arlindo Chinaglia,56,ARLINDO CHIGNALIA JUNIOR,M,SP,Serra Azul
2884,73441,Celso Russomanno,56,CELSO UBIRAJARA RUSSOMANNO,M,SP,Sao Paulo
2903,73460,Gustavo Fruet,56,GUSTAVO BONATO FRUET,M,PR,Curitiba
2909,73466,Rubens Bueno,56,RUBENS BUENO,M,PR,Sertanopolis
2925,73482,Henrique Fontana,56,HENRIQUE FONTANA JUNIOR,M,RS,Porto Alegre
2929,73486,Pompeo de Mattos,56,DARCI POMPEO DE MATTOS,M,RS,Santo Augusto
2942,73531,Ivan Valente,56,IVAN VALENTE,M,SP,Sao Paulo
2997,73586,Julio Delgado,56,JULIO CESAR DELGADO,M,MG,Juiz de Fora
3015,73604,Rui Falcao,56,RUI GOETHE DA COSTA FALCAO,M,MG,Pitangui
3057,73674,ROBERTO BALESTRA,56,ROBERTO EGIDIO BALESTRA,M,GO,Inhumas
3075,73692,Osmar Terra,56,OSMAR GASPARINI TERRA,M,RS,Porto Alegre
3079,73696,Angela Amin,56,ANGELA REGINA HEINZEN AMIN HELOU,F,SC,Indaial
3084,73701,Benedita da Silva,56,BENEDITA SOUZA DA SILVA SAMPAIO,F,RJ,Rio de Janeiro
3140,73772,Hermes Parcianello,56,HERMES PARCIANELLO,M,PR,Goioere
3156,73788,Ricardo Barros,56,RICARDO JOSE MAGALHAES BARROS,M,PR,Maringa
3169,73801,Renildo Calheiros,56,RENILDO VASCONCELOS CALHEIROS,M,AL,Murici
3176,73808,Sergio Brito,56,SERGIO LUIS LACERDA BRITO,M,BA,Vitoria da Conquista
3239,73891,Darcisio Perondi,56,DARCISIO PAULO PERONDI,M,RS,Ijui
3291,73943,Perpetua Almeida,56,MARIA PERPETUA DE ALMEIDA,F,AC,Porto Walter
3354,74010,VALDIR COLATTO,56,VALDIR COLATTO,M,RS,Lagoa Vermelha
3387,74043,Wellington Roberto,56,JOSE WELLINGTON ROBERTO,M,PB,Sao Jose de Piranhas
3388,74044,Wilson Santiago,56,JOSE WILSON SANTIAGO,M,PB,Uirauna
3396,74052,Bosco Costa,56,JOAO BOSCO DA COSTA,M,SE,Itabaiana
3401,74057,Alice Portugal,56,ALICE MAZZUCO PORTUGAL,F,BA,Salvador
3404,74060,Daniel Almeida,56,DANIEL GOMES DE ALMEIDA,M,BA,Mairi
3419,74075,Elcione Barbalho,56,ELCIONE THEREZINHA ZAHLUTH BARBALHO,F,PA,Belem
3423,74079,Jose Priante,56,JOSE BENITO PRIANTE JUNIOR,M,PA,Belem
3434,74090,Atila Lins,56,ATILA SIDNEY LINS ALBUQUERQUE,M,AM,Fonte Boa
3485,74141,Josias Gomes,56,JOSIAS GOMES DA SILVA,M,PE,Amaraji
3500,74156,Leonardo Monteiro,56,JOSE LEONARDO COSTA MONTEIRO,M,MG,Governador Valadares
3502,74158,Mario Heringer,56,MARIO LUCIO HERINGER,M,MG,Manhumirim
3503,74159,Odair Cunha,56,ODAIR JOSE DA CUNHA,M,SP,Piedade
3504,74160,Patrus Ananias,56,PATRUS ANANIAS DE SOUSA,M,MG,Bocaiuva
3505,74161,Reginaldo Lopes,56,REGINALDO LAZARO DE OLIVEIRA LOPES,M,MG,Bom Sucesso
3544,74200,Gastao Vieira,56,GASTAO DIAS VIEIRA,M,MA,Sao Luis
3556,74212,Anibal Gomes,56,ANIBAL FERREIRA GOMES,M,RJ,Rio de Janeiro
3606,74262,Carlos Sampaio,56,CARLOS HENRIQUE FOCESI SAMPAIO,M,SP,Campinas
3614,74270,Gilberto Nascimento,56,GILBERTO NASCIMENTO SILVA,M,SP,Sao Paulo
