,Unnamed: 0,deputado_id,nome,idLegislaturaFinal,nomeCivil,siglaSexo,ufNascimento,municipioNascimento,betweenness_centrality
1,2842,66179,Norma Ayub,56,NORMA AYUB ALVES,F,ES,Vitoria,0.0
2,2845,66828,Fausto Pinato,56,FAUSTO RUY PINATO,M,SP,Fernandopolis,0.0
3,2847,67138,Iracema Portella,56,IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,F,PI,Teresina,0.0
4,2852,68720,Fabio Henrique,56,FABIO HENRIQUE SANTANA DE CARVALHO,M,SE,Simao Dias,0.0
5,2854,69871,Bacelar,56,JOAO CARLOS BACELAR BATISTA,M,BA,Esplanada,0.0
6,2856,72442,Felipe Carreras,56,FELIPE AUGUSTO LYRA CARRERAS,M,PE,Recife,0.0
7,2876,73433,Arlindo Chinaglia,56,ARLINDO CHIGNALIA JUNIOR,M,SP,Serra Azul,0.0
8,2884,73441,Celso Russomanno,56,CELSO UBIRAJARA RUSSOMANNO,M,SP,Sao Paulo,0.0
9,2903,73460,Gustavo Fruet,56,GUSTAVO BONATO FRUET,M,PR,Curitiba,0.0
10,2909,73466,Rubens Bueno,56,RUBENS BUENO,M,PR,Sertanopolis,0.0
11,2925,73482,Henrique Fontana,56,HENRIQUE FONTANA JUNIOR,M,RS,Porto Alegre,0.0
12,2929,73486,Pompeo de Mattos,56,DARCI POMPEO DE MATTOS,M,RS,Santo Augusto,0.0
13,2942,73531,Ivan Valente,56,IVAN VALENTE,M,SP,Sao Paulo,0.0
14,2997,73586,Julio Delgado,56,JULIO CESAR DELGADO,M,MG,Juiz de Fora,0.0
15,3015,73604,Rui Falcao,56,RUI GOETHE DA COSTA FALCAO,M,MG,Pitangui,0.0
18,3079,73696,Angela Amin,56,ANGELA REGINA HEINZEN AMIN HELOU,F,SC,Indaial,0.0
19,3084,73701,Benedita da Silva,56,BENEDITA SOUZA DA SILVA SAMPAIO,F,RJ,Rio de Janeiro,0.0
20,3140,73772,Hermes Parcianello,56,HERMES PARCIANELLO,M,PR,Goioere,0.0
21,3156,73788,Ricardo Barros,56,RICARDO JOSE MAGALHAES BARROS,M,PR,Maringa,0.0
22,3169,73801,Renildo Calheiros,56,RENILDO VASCONCELOS CALHEIROS,M,AL,Murici,0.0
23,3176,73808,Sergio Brito,56,SERGIO LUIS LACERDA BRITO,M,BA,Vitoria da Conquista,0.0
24,3239,73891,Darcisio Perondi,56,DARCISIO PAULO PERONDI,M,RS,Ijui,0.0
25,3291,73943,Perpetua Almeida,56,MARIA PERPETUA DE ALMEIDA,F,AC,Porto Walter,0.0
27,3387,74043,Wellington Roberto,56,JOSE WELLINGTON ROBERTO,M,PB,Sao Jose de Piranhas,0.0
28,3388,74044,Wilson Santiago,56,JOSE WILSON SANTIAGO,M,PB,Uirauna,0.0005011350469779257
29,3396,74052,Bosco Costa,56,JOAO BOSCO DA COSTA,M,SE,Itabaiana,0.0
30,3401,74057,Alice Portugal,56,ALICE MAZZUCO PORTUGAL,F,BA,Salvador,0.0
31,3404,74060,Daniel Almeida,56,DANIEL GOMES DE ALMEIDA,M,BA,Mairi,0.0
32,3419,74075,Elcione Barbalho,56,ELCIONE THEREZINHA ZAHLUTH BARBALHO,F,PA,Belem,0.0
33,3423,74079,Jose Priante,56,JOSE BENITO PRIANTE JUNIOR,M,PA,Belem,0.0
34,3434,74090,Atila Lins,56,ATILA SIDNEY LINS ALBUQUERQUE,M,AM,Fonte Boa,0.0
36,3500,74156,Leonardo Monteiro,56,JOSE LEONARDO COSTA MONTEIRO,M,MG,Governador Valadares,0.0
37,3502,74158,Mario Heringer,56,MARIO LUCIO HERINGER,M,MG,Manhumirim,0.0
38,3503,74159,Odair Cunha,56,ODAIR JOSE DA CUNHA,M,SP,Piedade,0.0
39,3504,74160,Patrus Ananias,56,PATRUS ANANIAS DE SOUSA,M,MG,Bocaiuva,0.0
40,3505,74161,Reginaldo Lopes,56,REGINALDO LAZARO DE OLIVEIRA LOPES,M,MG,Bom Sucesso,0.0
41,3544,74200,Gastao Vieira,56,GASTAO DIAS VIEIRA,M,MA,Sao Luis,0.0
42,3556,74212,Anibal Gomes,56,ANIBAL FERREIRA GOMES,M,RJ,Rio de Janeiro,0.0
43,3606,74262,Carlos Sampaio,56,CARLOS HENRIQUE FOCESI SAMPAIO,M,SP,Campinas,0.0
44,3614,74270,Gilberto Nascimento,56,GILBERTO NASCIMENTO SILVA,M,SP,Sao Paulo,0.00010770634589769188
45,3617,74273,Jefferson Campos,56,JEFFERSON ALVES DE CAMPOS,M,SP,Ourinhos,0.0
46,3627,74283,Vicentinho,56,VICENTE PAULO DA SILVA,M,RN,Santa Cruz,0.0
47,3643,74299,Leonidas Cristino,56,JOSE LEONIDAS DE MENEZES CRISTINO,M,CE,Coreau,0.0
48,3649,74305,Roberto Pessoa,56,ROBERTO SOARES PESSOA,M,CE,Fortaleza,0.0
49,3660,74317,Julio Cesar,56,JULIO CESAR DE CARVALHO LIMA,M,PI,Guadalupe,0.00017047125775502625
50,3662,74319,Paes Landim,56,JOSE FRANCISCO PAES LANDIM,M,PI,Sao Joao do Piaui,0.0
51,3695,74352,Nilson Pinto,56,NILSON PINTO DE OLIVEIRA,M,PA,Belem,0.0
52,3699,74356,Silas Camara,56,SILAS CAMARA,M,AC,Rio Branco,0.0
53,3709,74366,Joao Campos,56,JOAO CAMPOS DE ARAUJO,M,TO,Peixe,0.0
54,3714,74371,Rubens Otoni,56,RUBENS OTONI GOMIDE,M,GO,Goianesia,0.0
56,3719,74376,Vander Loubet,56,VANDER LUIZ DOS SANTOS LOUBET,M,MS,Porto Murtinho,0.0
