deputado_id,nome,idLegislaturaInicial,idLegislaturaFinal,siglaSexo,betweenness_centrality,eigenvecto_centrality,Frentes
66179,Norma Ayub,55,56,F,0.0,3.9074932244178144e-11,8
66828,Fausto Pinato,55,56,M,0.0,3.9074932244178144e-11,169
67138,Iracema Portella,54,56,F,0.0,3.9074932244178144e-11,139
69871,Bacelar,55,56,M,0.0,3.9074932244178144e-11,166
72442,Felipe Carreras,55,56,M,0.0,3.9074932244178144e-11,3
73433,Arlindo Chinaglia,50,56,M,0.0,3.9074932244178144e-11,32
73441,Celso Russomanno,50,56,M,0.0,3.9074932244178144e-11,139
73460,Gustavo Fruet,51,56,M,0.0,3.9074932244178144e-11,0
73466,Rubens Bueno,49,56,M,0.0,3.9074932244178144e-11,142
73482,Henrique Fontana,51,56,M,0.0,3.9074932244178144e-11,68
73486,Pompeo de Mattos,51,56,M,0.0,3.9074932244178144e-11,204
73531,Ivan Valente,50,56,M,0.0,3.9074932244178144e-11,50
73586,Julio Delgado,51,56,M,0.0,3.9074932244178144e-11,91
73604,Rui Falcao,51,56,M,0.0,3.9074932244178144e-11,0
73696,Angela Amin,49,56,F,0.0,3.9074932244178144e-11,0
73701,Benedita da Silva,48,56,F,0.0,3.9074932244178144e-11,93
73772,Hermes Parcianello,50,56,M,0.0,3.9074932244178144e-11,20
73788,Ricardo Barros,50,56,M,0.0,3.5167439019760326e-10,77
73801,Renildo Calheiros,49,56,M,0.0,3.9074932244178144e-11,0
73808,Sergio Brito,48,56,M,0.0,3.9074932244178144e-11,181
73891,Darcisio Perondi,50,56,M,0.0,3.9074932244178144e-11,152
73943,Perpetua Almeida,52,56,F,0.0,3.9074932244178144e-11,0
74043,Wellington Roberto,52,56,M,0.0,3.9074932244178144e-11,252
74044,Wilson Santiago,52,56,M,0.0005011350469779257,0.0815667646314349,0
74052,Bosco Costa,52,56,M,0.0,3.9074932244178144e-11,8
74057,Alice Portugal,52,56,F,0.0,3.9074932244178144e-11,194
74060,Daniel Almeida,52,56,M,0.0,3.9074932244178144e-11,255
74075,Elcione Barbalho,50,56,F,0.0,3.9074932244178144e-11,57
