,Unnamed: 0,deputado_id,idLegislaturaInicial,idLegislaturaFinal,siglaSexo,ufNascimento,betweenness_centrality,eigenvecto_centrality
8,2842,66179,55,56,F,ES,0.0,3.9074932244178144e-11
9,2845,66828,55,56,M,SP,0.0,3.9074932244178144e-11
10,2847,67138,54,56,F,PI,0.0,3.9074932244178144e-11
12,2852,68720,56,56,M,SE,0.0,3.9074932244178144e-11
14,2854,69871,55,56,M,BA,0.0,3.9074932244178144e-11
16,2856,72442,55,56,M,PE,0.0,3.9074932244178144e-11
18,4107,75431,54,56,M,PR,0.0,3.9074932244178144e-11
21,4110,76874,56,56,M,RJ,0.0,3.9074932244178144e-11
23,4114,81055,56,56,M,MA,0.0,3.9074932244178144e-11
25,4116,81297,56,56,F,ES,0.0,3.9074932244178144e-11
31,4123,90201,56,56,M,CE,3.0301799658397255e-05,1.2894727640578788e-09
32,4124,90842,56,56,M,RS,0.0,3.9074932244178144e-11
34,4126,92102,56,56,M,BA,0.0,3.9074932244178144e-11
35,4127,92346,55,56,M,RJ,0.0,3.9074932244178144e-11
37,4129,92699,55,56,M,PE,0.0,3.9074932244178144e-11
38,4130,92776,54,56,M,MG,0.0,3.9074932244178144e-11
39,4131,93083,55,56,M,BA,0.0,3.9074932244178144e-11
43,4136,98057,56,56,M,MG,0.004951701744018089,0.33091226794940537
48,4141,107283,56,56,F,PR,0.0,3.9074932244178144e-11
49,4142,108338,56,56,F,SC,0.0,3.9074932244178144e-11
52,4145,109429,56,56,M,RN,0.0,3.9074932244178144e-11
53,4146,112437,55,56,M,MA,0.0,3.9074932244178144e-11
57,4150,115746,56,56,M,RJ,0.0,3.9074932244178144e-11
59,4152,116379,56,56,M,PR,0.0,3.9074932244178144e-11
64,4157,121948,56,56,M,GO,0.0,3.9074932244178144e-11
65,4158,122158,54,56,M,RJ,0.002643000812063568,0.21950980566738848
67,4160,122466,55,56,M,SP,0.0,3.9074932244178144e-11
68,4161,122974,56,56,M,MA,2.529746543955281e-05,2.2272711379181523e-09
74,6190,132504,55,56,M,PR,0.0,3.9074932244178144e-11
75,6204,133810,56,56,M,RS,0.0,3.9074932244178144e-11
76,6366,134812,55,56,M,PA,0.0,3.9074932244178144e-11
77,6368,135054,56,56,M,MG,0.0,3.9074932244178144e-11
78,6373,137070,55,56,M,GO,0.0,3.9074932244178144e-11
100,6671,141391,53,56,M,SP,0.0,3.9074932244178144e-11
107,6678,141398,53,56,M,SP,0.0,3.9074932244178144e-11
113,6685,141405,53,56,M,SC,0.0001938460243071119,0.03381260350649081
116,6688,141408,53,56,M,MA,0.0,3.9074932244178144e-11
119,6691,141411,53,56,M,SP,0.0,3.9074932244178144e-11
125,6697,141417,53,56,M,SP,0.0,3.9074932244178144e-11
129,6701,141421,53,56,M,PE,0.0,3.9074932244178144e-11
130,6702,141422,53,56,M,PB,0.0005521255697272912,0.013002151740955481
135,6707,141427,53,56,M,DF,0.0,3.9074932244178144e-11
136,6708,141428,53,56,M,RN,0.0,3.9074932244178144e-11
139,6711,141431,53,56,M,PE,0.0,3.9074932244178144e-11
142,6714,141434,53,56,M,AC,0.0,3.9074932244178144e-11
147,6719,141439,53,56,M,RJ,0.0,3.9074932244178144e-11
158,6730,141450,53,56,M,MG,0.0,3.9074932244178144e-11
166,6738,141458,53,56,M,BA,0.0,3.9074932244178144e-11
167,6739,141459,53,56,M,PB,0.0,3.9074932244178144e-11
172,6744,141464,53,56,M,CE,0.0,3.9074932244178144e-11
178,6750,141470,53,56,M,CE,0.0,3.9074932244178144e-11
196,6768,141488,53,56,M,SP,0.0,3.9074932244178144e-11
216,6788,141508,53,56,M,RJ,0.0,3.9074932244178144e-11
221,6793,141513,53,56,M,RJ,0.0,3.9074932244178144e-11
224,6796,141516,53,56,M,MG,0.0,3.9074932244178144e-11
226,6798,141518,53,56,M,PR,0.0011996154570260821,0.09409832254472358
231,6803,141523,53,56,M,PE,0.0,3.9074932244178144e-11
239,6811,141531,53,56,M,MG,0.0,3.9074932244178144e-11
259,6831,141552,53,56,M,MT,0.0,3.9074932244178144e-11
260,6832,141553,53,56,M,SP,0.0,3.9074932244178144e-11
262,6834,141555,53,56,M,RJ,0.0,3.9074932244178144e-11
272,6844,143084,56,56,M,MG,0.0,3.9074932244178144e-11
275,6847,143632,54,56,M,CE,0.0,3.9074932244178144e-11
278,6850,146307,53,56,M,RS,0.0,3.9074932244178144e-11
281,6853,146788,55,56,M,MG,0.0,3.9074932244178144e-11
290,6862,150418,53,56,M,RJ,0.0,3.9074932244178144e-11
294,6866,151208,53,56,M,PE,0.0,3.9074932244178144e-11
298,6870,152605,53,56,M,RJ,0.0,3.9074932244178144e-11
303,6875,152610,53,56,M,SP,0.0,3.9074932244178144e-11
307,6879,154178,53,56,M,SP,0.0,3.9074932244178144e-11
315,6887,156190,56,56,M,RS,0.0,3.9074932244178144e-11
317,6889,157130,56,56,M,PE,0.0,3.9074932244178144e-11
321,6893,159237,54,56,M,PI,0.0,3.9074932244178144e-11
337,6909,160508,54,56,M,BA,0.0,3.9074932244178144e-11
339,6911,160510,54,56,M,MG,0.0,3.9074932244178144e-11
340,6912,160511,54,56,M,MG,0.0,3.9074932244178144e-11
341,6913,160512,54,56,M,RJ,0.0,3.9074932244178144e-11
347,6919,160518,54,56,M,MG,0.0,3.9074932244178144e-11
349,6922,160527,54,56,M,PB,0.0,3.9074932244178144e-11
