deputado_id,nome,idLegislaturaInicial,idLegislaturaFinal,siglaSexo
4930,SILVIO COSTA,53,55,M
4931,IZALCI LUCAS,53,55,M
62881,Danilo Forte,54,56,M
64960,MARIA HELENA,52,55,F
66179,Norma Ayub,55,56,F
66828,Fausto Pinato,55,56,M
67138,Iracema Portella,54,56,F
67312,JULIA MARINHO,55,55,F
69871,Bacelar,55,56,M
72442,Felipe Carreras,55,56,M
72912,CELSO PANSERA,55,55,M
73424,SIMAO SESSIM,46,55,M
73433,Arlindo Chinaglia,50,56,M
73434,ARNALDO FARIA DE SA,48,55,M
73437,BETO MANSUR,49,55,M
73441,Celso Russomanno,50,56,M
73447,EDINHO ARAUJO,50,55,M
73458,ALEX CANZIANI,51,55,M
73460,Gustavo Fruet,51,56,M
73463,OSMAR SERRAGLIO,51,55,M
73466,Rubens Bueno,49,56,M
73481,FERNANDO MARRONI,51,55,M
73482,Henrique Fontana,51,56,M
73483,LUIS CARLOS HEINZE,51,55,M
73486,Pompeo de Mattos,51,56,M
73531,Ivan Valente,50,56,M
73535,JORGE TADEU MUDALEN,49,55,M
73553,NELSON MARQUEZELLI,49,55,M
73560,SILVIO TORRES,50,55,M
73568,CELSO JACOB,51,55,M
73579,ALBERTO FRAGA,51,55,M
73584,ANTONIO CARLOS MENDES THAME,48,55,M
73586,Julio Delgado,51,56,M
73588,MAURO BENEVIDES,51,55,M
73604,Rui Falcao,51,56,M
73655,AUGUSTO CARVALHO,48,55,M
73666,JOVAIR ARANTES,50,55,M
73674,ROBERTO BALESTRA,48,56,M
73692,Osmar Terra,51,56,M
73696,Angela Amin,49,56,F
73701,Benedita da Silva,48,56,F
73714,JOSE REINALDO,49,55,M
73720,CESAR SOUZA,49,55,M
73768,DILCEU SPERAFICO,50,55,M
73772,Hermes Parcianello,50,56,M
73778,LUIZ CARLOS HAULY,49,55,M
73781,NELSON MEURER,50,55,M
73786,REINHOLD STEPHANES,46,55,M
73788,Ricardo Barros,50,56,M
73793,EDINHO BEZ,50,55,M
73801,Renildo Calheiros,49,56,M
73805,ROBERTO FREIRE,46,55,M
73808,Sergio Brito,48,56,M
73831,TAMPINHA,49,55,M
73891,Darcisio Perondi,50,56,M
73926,JANETE CAPIBERIBE,52,55,F
73930,WLADIMIR COSTA,52,55,M
73931,ZE GERALDO,52,55,M
73934,CARLOS SOUZA,52,55,M
73943,Perpetua Almeida,52,56,F
73992,YEDA CRUSIUS,50,55,F
74010,VALDIR COLATTO,48,56,M
74017,PAULO FEIJO,50,55,M
74040,BENJAMIN MARANHAO,52,55,M
74041,LUIZ COUTO,52,55,M
74043,Wellington Roberto,52,56,M
74044,Wilson Santiago,52,56,M
74048,RAUL JUNGMANN,52,55,M
74050,MAURICIO QUINTELLA LESSA,52,55,M
74052,Bosco Costa,52,56,M
74056,MENDONCA PRADO,52,55,M
74057,Alice Portugal,52,56,F
74060,Daniel Almeida,52,56,M
74065,FATIMA PELAES,49,55,F
74075,Elcione Barbalho,50,56,F
74077,GIOVANNI QUEIROZ,49,55,M
74079,Jose Priante,50,56,M
74090,Atila Lins,49,56,M
74095,PAUDERNEY AVELINO,49,55,M
74103,ARIOSTO HOLANDA,49,55,M
74124,MARCAL FILHO,50,55,M
74140,JOSE CARLOS ARAUJO,52,55,M
74141,Josias Gomes,52,56,M
74156,Leonardo Monteiro,52,56,M
74158,Mario Heringer,52,56,M
74159,Odair Cunha,52,56,M
74160,Patrus Ananias,52,56,M
74161,Reginaldo Lopes,52,56,M
74163,CARLOS MANATO,52,55,M
74171,CHICO ALENCAR,52,55,M
74172,DELEY,52,55,M
74173,EDUARDO CUNHA,52,55,M
74177,MARINHA RAUPP,50,55,F
74189,FREIRE JUNIOR,48,55,M
74200,Gastao Vieira,50,56,M
74210,SARNEY FILHO,47,55,M
74212,Anibal Gomes,50,56,M
74213,ANTONIO BALHMANN,50,55,M
74216,RAIMUNDO GOMES DE MATOS,50,55,M
74230,COLBERT MARTINS,50,55,M
74235,MARCUS VICENTE,50,55,M
74253,JULIO LOPES,52,55,M
74254,LEONARDO PICCIANI,52,55,M
74262,Carlos Sampaio,52,56,M
74270,Gilberto Nascimento,52,56,M
74273,Jefferson Campos,52,56,M
74275,JOSE MENTOR,52,55,M
74277,LOBBE NETO,52,55,M
74278,MARCELO ORTIZ,52,55,M
74283,Vicentinho,52,56,M
74291,ARNON BEZERRA,50,55,M
74299,Leonidas Cristino,50,56,M
74305,Roberto Pessoa,50,56,M
74308,VICENTE ARRUDA,50,55,M
74317,Julio Cesar,50,56,M
74319,Paes Landim,48,56,M
74351,JOSUE BENGTSON,51,55,M
