id,idOrgao,idEvento,aprovacao,votosSim,votosNao,votosOutros,ultimaApresentacaoProposicao_idProposicao
551712-136,180,37887,1.0,388,66,2,0
600023-76,180,37887,0.0,0,0,0,945553
600023-80,180,37887,0.0,22,246,43,945553
600023-84,180,37887,0.0,0,0,0,945703
600023-92,180,37887,1.0,0,0,0,945703
644044-37,180,37888,1.0,0,0,0,858594
644044-41,180,37888,1.0,0,0,0,858594
644044-34,180,37888,1.0,0,0,0,858594
644044-39,180,37888,0.0,0,0,0,858594
644044-40,180,37888,0.0,0,0,0,858594
644044-42,180,37888,1.0,0,0,0,858594
644044-46,180,37888,1.0,0,0,0,858594
571752-50,180,37889,1.0,0,0,0,0
571752-51,180,37889,1.0,0,0,0,0
576340-34,180,37889,1.0,0,0,0,0
576340-35,180,37889,1.0,0,0,0,0
592922-70,180,37889,1.0,0,0,0,0
592923-64,180,37889,1.0,0,0,0,0
619150-57,180,37894,0.0,0,0,0,687799
619150-60,180,37894,0.0,0,0,0,687799
619150-65,180,37894,1.0,0,0,0,687799
946310-4,180,37901,1.0,0,0,0,0
619150-72,180,37901,0.0,0,0,0,687799
619150-75,180,37901,0.0,0,0,0,687799
619150-78,180,37901,0.0,0,0,0,687799
619150-81,180,37901,0.0,0,0,0,687799
619150-84,180,37901,1.0,0,0,0,687799
619150-87,180,37901,1.0,0,0,0,687799
619150-90,180,37901,1.0,0,0,0,687799
619150-93,180,37901,0.0,161,241,3,687799
619150-97,180,37901,0.0,0,0,0,687799
619150-101,180,37901,0.0,0,0,0,687799
619150-103,180,37901,1.0,0,0,0,687799
619150-105,180,37901,0.0,0,0,0,687799
619150-107,180,37901,1.0,0,0,0,687799
619150-108,180,37901,1.0,0,0,0,687799
602633-96,180,37902,1.0,452,18,2,603991
602633-99,180,37902,1.0,427,44,1,603991
552295-163,180,37905,1.0,0,0,0,945597
558444-36,180,0,1.0,0,0,0,945919
946518-4,180,37905,1.0,0,0,0,0
467521-57,180,0,1.0,0,0,0,946307
946519-4,180,0,1.0,0,0,0,0
946520-4,180,0,1.0,0,0,0,0
946521-4,180,0,1.0,0,0,0,0
946522-4,180,0,1.0,0,0,0,0
