id,idOrgao,idEvento,aprovacao,votosSim,votosNao,votosOutros,ultimaApresentacaoProposicao_idProposicao
2179189-45,180,54502,0.0,21,238,32,2186805
2179189-48,180,54502,0.0,0,0,0,2186805
2179189-59,180,54502,0.0,53,294,47,2191685
2179189-62,180,54502,1.0,0,0,0,2191685
2179189-73,180,54502,0.0,0,0,0,2191771
2179189-75,180,54502,1.0,0,0,0,2191771
2179189-78,180,54502,0.0,0,0,0,2191771
2179189-80,180,54502,1.0,0,0,0,2191771
2179189-86,180,54502,0.0,0,0,0,2191771
2179189-88,180,54502,1.0,0,0,0,2191771
2183835-38,180,54502,0.0,0,0,0,0
2191503-2,538332,54495,1.0,0,0,0,0
2191504-2,538332,54495,1.0,0,0,0,0
2191505-2,538332,54495,1.0,0,0,0,0
2191506-2,538332,54495,1.0,0,0,0,0
2191507-2,538332,54495,1.0,0,0,0,0
2191508-2,538332,54495,1.0,0,0,0,0
2191547-2,538332,54495,1.0,0,0,0,0
2191548-2,538332,54495,1.0,0,0,0,0
2191549-2,538332,54495,1.0,0,0,0,0
2191550-2,538332,54495,1.0,0,0,0,0
2191551-2,538332,54495,1.0,0,0,0,0
2191552-2,538332,54495,1.0,0,0,0,0
2183943-82,180,54506,1.0,0,0,0,0
2183943-36,180,54506,0.0,0,0,0,0
2183943-39,180,54506,0.0,0,0,0,0
2183943-43,180,54506,1.0,0,0,0,0
2183943-47,180,54506,0.0,0,0,0,0
2183943-50,180,54506,1.0,0,0,0,0
2183943-54,180,54506,0.0,0,0,0,0
2183943-57,180,54506,1.0,0,0,0,0
2183943-59,180,54506,0.0,0,0,0,0
2183943-61,180,54506,0.0,0,0,0,0
2183943-63,180,54506,1.0,0,0,0,0
2183943-72,180,54506,1.0,0,0,0,0
2183943-80,180,54506,1.0,0,0,0,0
2183957-36,180,54506,1.0,0,0,0,0
2183957-39,180,54506,0.0,0,0,0,0
2183957-40,180,54506,1.0,0,0,0,0
2183957-44,180,54506,0.0,0,0,0,0
2183957-47,180,54506,0.0,0,0,0,0
2183957-56,180,54506,1.0,0,0,0,0
2183957-52,180,54510,0.0,0,0,0,0
2183957-54,180,54510,1.0,0,0,0,0
2183835-43,4,0,0.0,0,0,0,0
2083376-47,180,54508,0.0,5,268,43,0
2083376-51,180,54508,1.0,0,0,0,0
2192300-10,180,54531,1.0,367,57,4,0
2190880-37,180,54531,0.0,54,325,2,2192300
2190880-48,180,54531,1.0,0,0,0,2192394
2190880-51,180,54531,1.0,0,0,0,2192394
2190880-54,180,54531,1.0,0,0,0,2192394
2160860-163,180,54531,0.0,0,0,0,2174552
2160860-165,180,54531,0.0,182,282,2,2174552
2191598-2,538332,54522,1.0,0,0,0,0
2191730-2,538332,54522,1.0,0,0,0,0
2191731-2,538332,54522,1.0,0,0,0,0
2191784-2,538332,54522,1.0,0,0,0,0
2191911-2,538332,54522,1.0,0,0,0,0
2191953-2,538332,54522,1.0,0,0,0,0
2191955-2,538332,54522,1.0,0,0,0,0
2192025-2,538332,54522,1.0,0,0,0,0
2192015-2,538332,54522,1.0,0,0,0,0
2192035-2,538332,54522,1.0,0,0,0,0
2192039-3,538332,54522,1.0,0,0,0,0
