idVotacao,voto,deputado_id,deputado_siglaPartido,pardido_id,deputado_siglaUf
1063052-105,1,178957,DEM,36769,RR
1063052-105,1,178890,PT,36844,MG
1063052-105,1,178968,PR,36814,SE
1063052-105,1,133374,PTN,36848,MG
1063052-105,1,178903,PSB,36832,MT
1063052-105,1,141372,PR,36814,MG
1063052-105,1,160508,PT,36844,BA
1063052-105,1,136811,PP,36809,RS
1063052-105,1,178835,PDT,36786,RS
1063052-105,1,160527,PP,36809,PB
1063052-105,1,178836,PRB,36815,AC
1063052-105,1,160582,PMDB,36800,MA
1063052-105,1,73579,DEM,36769,DF
1063052-105,1,160511,REDE,36886,RJ
1063052-105,1,73458,PTB,36845,PR
1063052-105,1,178972,PPS,36813,SP
1063052-105,-1,178875,PTN,36848,GO
1063052-105,1,160545,DEM,36769,SP
1063052-105,1,178833,PMDB,36800,RJ
1063052-105,1,178936,PR,36814,RJ
1063052-105,-1,141454,PSL,36837,PR
1063052-105,1,74057,PCdoB,36779,BA
1063052-105,1,178927,REDE,36886,PR
1063052-105,1,178937,PMDB,36800,RJ
1063052-105,1,178973,PT,36844,SP
1063052-105,1,160551,PR,36814,PE
1063052-105,1,178831,PP,36809,AP
1063052-105,1,178882,PP,36809,MA
1063052-105,1,160543,PSC,36833,SE
1063052-105,1,178974,PT,36844,SP
1063052-105,1,192120,PCdoB,36779,SC
1063052-105,1,178837,PT,36844,AC
1063052-105,1,160553,PSD,36834,BA
1063052-105,1,141383,PRB,36815,SP
1063052-105,1,73584,PV,36851,SP
1063052-105,1,160530,PSDB,36835,BA
1063052-105,1,178950,PTN,36848,RN
1063052-105,1,74103,PDT,36786,CE
1063052-105,1,73433,PT,36844,SP
1063052-105,1,73434,PTB,36845,SP
1063052-105,1,160602,PPS,36813,PA
1063052-105,1,74291,PTB,36845,CE
1063052-105,1,160541,PP,36809,AL
1063052-105,1,160600,PPS,36813,BA
1063052-105,1,178847,PSDB,36835,AM
1063052-105,1,159237,PT,36844,PI
1063052-105,1,74378,PDT,36786,PR
1063052-105,1,74459,PSB,36832,PI
1063052-105,1,73655,SD,36765,DF
1063052-105,1,160512,SD,36765,RJ
1063052-105,1,69871,PTN,36848,BA
1063052-105,1,178975,PMDB,36800,SP
1063052-105,1,178834,PSB,36832,BA
1063052-105,1,73701,PT,36844,RJ
1063052-105,1,74535,PTB,36845,BA
1063052-105,1,74040,SD,36765,PB
1063052-105,1,178915,PSDB,36835,PE
1063052-105,1,141335,PT,36844,PA
1063052-105,0,73437,PRB,36815,SP
1063052-105,1,178948,PP,36809,RN
1063052-105,1,178906,PP,36809,PA
1063052-105,1,74650,PSDB,36835,MG
1063052-105,1,160589,PSDB,36835,SP
1063052-105,1,178999,PR,36814,MG
1063052-105,1,141394,PSDB,36835,PE
1063052-105,1,178976,PSDB,36835,SP
1063052-105,1,178938,PTdoB,36847,RJ
1063052-105,1,178865,PR,36814,CE
1063052-105,1,105112,PMDB,36800,AP
1063052-105,1,93083,PP,36809,BA
1063052-105,1,178891,PSDB,36835,MG
1063052-105,1,178829,PR,36814,SP
1063052-105,1,178958,PHS,36793,RR
1063052-105,1,141401,PMDB,36800,MT
1063052-105,1,74474,PCdoB,36779,PE
1063052-105,1,178962,PRB,36815,RS
1063052-105,1,178993,PTN,36848,TO
1063052-105,1,74163,SD,36765,ES
1063052-105,1,178900,PMDB,36800,MS
1063052-105,-1,74651,DEM,36769,MG
1063052-105,1,74262,PSDB,36835,SP
1063052-105,1,141398,PT,36844,SP
1063052-105,1,164360,PPS,36813,SC
1063052-105,1,178876,PSDB,36835,GO
1063052-105,1,73568,PMDB,36800,RJ
1063052-105,1,141405,PMDB,36800,SC
1063052-105,1,178838,PSB,36832,AC
1063052-105,1,74171,PSOL,36839,RJ
1063052-105,1,141439,PT,36844,RJ
1063052-105,1,141440,PCdoB,36779,CE
1063052-105,1,178928,PR,36814,PR
1063052-105,1,178841,PMDB,36800,AL
1063052-105,1,74537,DEM,36769,BA
1063052-105,1,141408,PRB,36815,MA
1063052-105,1,178848,PP,36809,AM
1063052-105,-1,178963,PP,36809,RS
1063052-105,1,141411,PDT,36786,MS
1063052-105,1,74467,PDT,36786,PB
1063052-105,1,74060,PCdoB,36779,BA
1063052-105,1,178916,PSDB,36835,PE
1063052-105,-1,144523,PMDB,36800,GO
1063052-105,1,62881,PSB,36832,CE
1063052-105,1,160552,PSD,36834,RS
